,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.03,79.79000000000002,78,5,7.89,PF,1595094277
1,Bintulu,3.17,113.03,79.06999999999996,94,20,1.5,MY,1595094277
2,Ushuaia,-54.8,-68.3,32.26999999999996,93,75,2.1,AR,1595094153
3,Sinnamary,5.38,-52.95,83.62400000000002,77,22,4.69,GF,1595094277
4,Longyearbyen,78.22,15.64,50.26999999999996,61,75,7.2,SJ,1595094121
5,Kidal,18.44,1.41,92.53399999999999,34,50,5.57,ML,1595094277
6,Novy Urengoy,66.08,76.63,52.08800000000005,92,100,4.96,RU,1595094077
7,Ulaangom,49.98,92.07,65.28200000000001,60,39,1.03,MN,1595094277
8,Ahipara,-35.17,173.17,58.225999999999985,89,95,4.13,NZ,1595094277
9,Rikitea,-23.12,-134.97,73.04000000000002,80,56,10.59,PF,1595094277
10,East London,-33.02,27.91,68.66600000000001,28,0,1.85,ZA,1595094277
11,Qaanaaq,77.48,-69.36,48.398000000000025,70,85,1.6,GL,1595094277
12,Mar del Plata,-38.0,-57.56,61.069999999999965,77,75,1.0,AR,1595093985
13,Erzurum Province,40.0,41.5,73.66999999999996,38,40,3.83,TR,1595094278
14,Albany,42.6,-73.97,89.27599999999998,52,4,0.78,US,1595094278
15,Turtas,58.94,69.13,72.93200000000002,64,0,2.17,RU,1595094278
16,Carnarvon,-24.87,113.63,53.86999999999996,71,0,4.1,AU,1595093984
17,Grindavik,63.84,-22.43,53.86999999999996,62,40,10.8,IS,1595094278
18,La Ronge,55.1,-105.28,61.069999999999965,93,90,1.5,CA,1595094278
19,Ozubulu,5.96,6.85,75.12799999999996,91,57,2.81,NG,1595094278
20,Hobyo,5.35,48.53,78.11600000000001,72,99,12.4,SO,1595094278
21,Dikson,73.51,80.55,39.65,94,100,3.69,RU,1595094278
22,Fortuna,40.6,-124.16,63.266000000000005,72,20,3.1,US,1595094270
23,Tānsen,27.87,83.55,68.14399999999998,100,84,0.92,NP,1595094085
24,Hilo,19.73,-155.09,75.46999999999997,69,40,3.1,US,1595094278
25,Ponta do Sol,32.67,-17.1,75.27200000000005,62,63,1.12,PT,1595094278
26,Hithadhoo,-0.6,73.08,80.25800000000001,83,100,15.07,MV,1595094278
27,Iqaluit,63.75,-68.51,44.86999999999996,100,90,5.1,CA,1595094278
28,Punta Arenas,-53.15,-70.92,35.86999999999996,80,40,6.2,CL,1595094278
29,Lüderitz,-26.65,15.16,67.83800000000005,26,0,2.44,NA,1595094278
30,Mitsamiouli,-11.38,43.28,76.90999999999998,64,36,6.01,KM,1595094278
31,Vaini,-21.2,-175.2,73.66999999999996,94,75,2.6,TO,1595094278
32,Khatanga,71.97,102.5,44.95999999999998,83,99,1.5,RU,1595094278
33,Paamiut,61.99,-49.67,46.99399999999997,77,0,3.9,GL,1595094278
34,Provideniya,64.38,-173.3,45.82400000000001,80,95,2.06,RU,1595094278
35,Castro,-24.79,-50.01,74.174,54,5,3.01,BR,1595094044
36,Hegang,47.4,130.37,69.15199999999999,94,25,1.06,CN,1595094279
37,Avarua,-21.21,-159.78,68.26999999999995,82,57,1.5,CK,1595094279
38,Kapaa,22.08,-159.32,79.06999999999996,88,20,1.5,US,1595093986
39,Bluff,-46.6,168.33,36.85999999999998,80,0,2.97,NZ,1595094279
40,Xucheng,20.35,110.13,82.66999999999996,83,96,4.0,CN,1595094279
41,Shenjiamen,29.96,122.3,77.95399999999995,94,93,9.61,CN,1595094279
42,Bredasdorp,-34.53,20.04,59.26999999999996,77,0,3.1,ZA,1595094279
43,Hailun,47.45,126.93,69.69200000000001,85,18,2.47,CN,1595094279
